key,query,title,doi,venue,year,type,author0,source,problem_claimed,mechanism,hidden_assumptions,fixed_variables,ignored_failures,novelty_pressure,open_questions
3a0cfe7834f77531320d86f1b3915d86afda1cba,robot fault containment hierarchy,Application of integrated factor evaluation–analytic hierarchy process–T-S fuzzy fault tree analysis in reliability allocation of industrial robot systems,10.1016/j.asoc.2021.108248,Applied Soft Computing,2021,journal-article,Bin Bai,crossref,,,,,,,
2f494e670ba5088885b9a5763bdb34b4c660ba2f,robot fault containment hierarchy,Probabilistic Fault-Containment,10.1007/978-3-540-76627-8_16,Lecture Notes in Computer Science,2007,book-chapter,Anurag Dasgupta,crossref,,,,,,,
87e9e424ee62e06b38aaf4b8b3c34d5b75653535,robot fault containment hierarchy,Flexible Fault Tolerance for the Robot Operating System,10.15368/theses.2020.37,,2023,dissertation,Sukhman S. Marok,crossref,,,,,,,
b8a3699e2fc75f78f49ba1918db61ad8f4d635c3,robot fault containment hierarchy,Multi-Robot Containment and Disablement,10.1109/iros45743.2020.9341073,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2021,proceedings-article,Yuval Maymon,crossref,,,,,,,
2221a70ca03af7e6eb5d18fb2924ff39e7442a1d,robot fault containment hierarchy,Guaranteed fault containment and local stabilization in routing,10.1016/j.comnet.2006.03.001,Computer Networks,2006,journal-article,Hongwei Zhang,crossref,,,,,,,
e7c7720b77656a3ab6a4d127dbf0c04f084ffac4,robot fault containment hierarchy,On the Containment Hierarchy for Simplicial Ideals,10.1007/978-3-030-00027-1_11,Trends in Mathematics,2018,book-chapter,Magdalena Lampa-Baczyńska,crossref,,,,,,,
7c66e461ef5dca9c403faffbc58d10f82da2d1e3,robot fault containment hierarchy,Communication across fault-containment firewalls on the SGI origin,10.1109/hpca.1998.650567,Proceedings 1998 Fourth International Symposium on High-Performance Computer Architecture,2002,proceedings-article,K. Ghosh,crossref,,,,,,,
3a2443cbf54c01686b203925f587d8b3395ecd9e,robot fault containment hierarchy,Fault containment in a reconfigurable Multi-Processor System-on-a-Chip,10.1109/isie.2011.5984393,2011 IEEE International Symposium on Industrial Electronics,2011,proceedings-article,R. Obermaisser,crossref,,,,,,,
55edb5dc2f3c760f748ae263cd72fc72d5471f97,robot fault containment hierarchy,Engineering Resilient API Ecosystems: Fault Containment and Observability in Large-Scale Software Platforms,10.64388/irev8i8-1715575,Iconic Research and Engineering Journals,2026,journal-article,,crossref,,,,,,,
ba7029153e4161773347ebb161f8d7646251421f,robot fault containment hierarchy,Fault containment and error detection in the time-triggered architecture,10.1109/isads.2003.1193942,"The Sixth International Symposium on Autonomous Decentralized Systems, 2003. ISADS 2003.",2003,proceedings-article,H. Kopetz,crossref,,,,,,,
5bae2e2680abfe206d08605dadccb936c3233ab8,robot fault containment hierarchy,ALLIANCE: An architecture for fault tolerant multi-robot cooperation,10.2172/34318,,2007,report,L.E. Parker,crossref,,,,,,,
63b414da73c01fdfb5b7f39b27b0c63143ca2e52,robot fault containment hierarchy,Fault Detection and Isolation in Connected Multi-Robot Systems,10.70675/ad7ad850zfd56z4c93za523za89ae7d094d0,,2026,dissertation,,crossref,,,,,,,
0782dc5666c5f87c98eb17b9dc5a4104a22772b8,robot fault containment hierarchy,Swarming UAVS Behavior Hierarchy,10.1007/1-4020-3389-3_23,Multi-Robot Systems. From Swarms to Intelligent Automata Volume III,2005,book-chapter,Kuo-Chi Lin,crossref,,,,,,,
bae288b7c28d228f37e6a1bba61fe20ba0fafed3,robot fault containment hierarchy,Fault-tolerant Containment Control Under Denial-of-Service Attacks,10.1109/icus66297.2025.11295372,2025 IEEE International Conference on Unmanned Systems (ICUS),2025,proceedings-article,Ziying Fang,crossref,,,,,,,
106571ef85064d75984927dd43dfb4ec1e41a34f,robot fault containment hierarchy,Efficient Transitive Closure Reasoning in a Combined Class/Part/Containment Hierarchy,10.1007/s101150200009,Knowledge and Information Systems,2003,journal-article,Yugyung Lee,crossref,,,,,,,
eb8e288da5b802787ff362935be8de9c195c60bc,robot fault containment hierarchy,Fault-tolerant control of a service robot,10.1049/pbce126e_ch6,Fault Diagnosis and Fault-tolerant Control of Robotic and Autonomous Systems,2020,book-chapter,Alberto San Miguel,crossref,,,,,,,
bc45ad6afc9b94c6fb45c71cc7bf9521edc7dd8c,robot fault containment hierarchy,Discovering and exploiting the task hierarchy to learn sequences of motor policies for a strategic and interactive robot,10.70675/84535353zb263z4942za26bz854b4e56a296,,2026,dissertation,,crossref,,,,,,,
bc07da0aaa5aa1604ab63db3fab5fe35f540b8ad,robot fault containment hierarchy,Fault containment in weakly stabilizing systems,10.1016/j.tcs.2011.02.039,Theoretical Computer Science,2011,journal-article,Anurag Dasgupta,crossref,,,,,,,
478f6ffde8b2cf23bac3d20d0a81d98c29c7e353,robot fault containment hierarchy,Application of Analytic Hierarchy Process in Underwater Robot Competition,10.25236/icmit.2017.82,2017 2nd International Conference on Mechatronics and Information Technology (ICMIT 2017),2017,proceedings-article,,crossref,,,,,,,
98b9de1c092379424e6648799af89020ce31dca3,robot fault containment hierarchy,Highly efficient fault simulation exploiting hierarchy in circuit description,10.1109/ats.1992.224434,Proceedings First Asian Test Symposium (ATS `92),2003,proceedings-article,B.H. Seiss,crossref,,,,,,,
151d47cc3d177fc57c586854582981900314adb0,robot fault containment hierarchy,Fault-Tolerant Containment Control of Multiple Unmanned Aerial Vehicles Based on Distributed Sliding-Mode Observer,10.1007/s10846-018-0862-0,Journal of Intelligent &amp; Robotic Systems,2018,journal-article,Ziquan Yu,crossref,,,,,,,
a45a98f652c2fde8cf421ad8e7bb129193a60bad,robot fault containment hierarchy,On the containment hierarchy for simplicial ideals,10.1016/j.jpaa.2015.05.022,Journal of Pure and Applied Algebra,2015,journal-article,Magdalena Lampa-Baczyńska,crossref,,,,,,,
034c5f302d6495b6e00059fced15202befc61e88,robot fault containment hierarchy,Thruster Fault Diagnosis of An AUV Based on Multi-AUV System,10.3724/sp.j.1218.2010.00314,ROBOT,2010,journal-article,Xiansong MENG,crossref,,,,,,,
6ddd4e2f8708b157eae1fdc3f18ae9af009bd3a1,robot fault containment hierarchy,Implementing fault hierarchy to trace failures in home gateways,10.1109/isce.2008.4559472,2008 IEEE International Symposium on Consumer Electronics,2008,proceedings-article,S. Ramanathan,crossref,,,,,,,
90f8465e4c9596220fe6a04b7849be102369c3e4,robot fault containment hierarchy,An exercise in fault-containment: Self-stabilizing leader election,10.1016/0020-0190(96)00121-4,Information Processing Letters,2002,journal-article,Sukumar Ghosh,crossref,,,,,,,
7dde76e978cc436f36c607628b742e925673bd22,robot fault containment hierarchy,Self-managed Networks with Fault Management Hierarchy,10.1016/j.procs.2014.09.008,Procedia Computer Science,2014,journal-article,Mehmet Toy,crossref,,,,,,,
1da023e047652e9d7cfd50781fdddfa1104dce9d,robot fault containment hierarchy,"Hierarchy, Criticism, and Commendation:",10.2307/jj.18253057.8,The Commentarial Transformation of the Spring and Autumn,2024,book-chapter,,crossref,,,,,,,
3ed9b14ac7cd026296c60bc85fd4ad9b9759afa4,robot fault containment hierarchy,De-Risking Fault Leakage Risk and Containment Integrity for Geological CO2 Storage,10.3997/2214-4609.202421251,Fifth EAGE Global Energy Transition Conference &amp; Exhibition (GET 2024),2024,proceedings-article,K. Bisdom,crossref,,,,,,,
cfd9de87b4c197be5c54929d2f4a8bf4529cc4c8,robot fault containment hierarchy,Changing the face of robot remote fault diagnosis and service,10.1108/ir.2006.04933bad.001,Industrial Robot: An International Journal,2014,journal-article,,crossref,,,,,,,
d054be2b14a6036ced04d62fd7f310c7f6eb9d11,robot fault containment hierarchy,Robust Fault Detection and Isolation in Mobile Robot,10.1016/b978-008044485-7/50237-2,"Fault Detection, Supervision and Safety of Technical Processes 2006",2007,book-chapter,Bibhrajit Halder,crossref,,,,,,,
21211fd592f20aac0d4b320e71aeed8b7f8052bd,robot fault containment hierarchy,Fault diagnosis and fault tolerant control of mobile robot based on neural networks,10.1109/icmlc.2009.5212376,2009 International Conference on Machine Learning and Cybernetics,2009,proceedings-article,Zheng Li,crossref,,,,,,,
55fcfdb2511cfc719da9d11cbeed787c21ac04fd,robot fault containment hierarchy,Multi-level fault tolerance for autonomous robots - Application to an underwater robot,10.70675/69dcc82dzc31dz498bz82feze6587627c994,,2026,dissertation,,crossref,,,,,,,
9976d5ab9fbd2bafe33d044fe7d2125e0f4e5f8c,robot fault containment hierarchy,LEGO Robot Design using Incrementally Modular Abstraction Hierarchy,10.2316/p.2013.801-015,"Modelling, Identification and Control / 801: Advances in Computer Science",2013,proceedings-article,Kenji Ohmori,crossref,,,,,,,
f7852494bf5e939b7cc3da34d49635441a572544,robot fault containment hierarchy,Breaking the Hierarchy: Taxonomies and Survey on Multi-robot Integrated Task and Motion Planning,10.36227/techrxiv.173933261.11143776/v2,,2025,posted-content,Hanfu Wang,crossref,,,,,,,
77ab1f42e03532896ee27f34dd9d4b3349ea2de4,robot fault containment hierarchy,Breaking the Hierarchy: Taxonomies and Survey on Multi-robot Integrated Task and Motion Planning,10.36227/techrxiv.173933261.11143776/v1,,2025,posted-content,Hanfu Wang,crossref,,,,,,,
273e98f2c7300fc55754992da5944f1bac679d9d,robot fault containment hierarchy,Decentralized Multi-Robot Herding via Partial Containment Strategy,10.1109/lra.2026.3677717,IEEE Robotics and Automation Letters,2026,journal-article,Dac Dang Khoa Nguyen,crossref,,,,,,,
b47e988deb43285d86aae5d286e9a5cc0a50b9ea,robot fault containment hierarchy,DISTRIBUTED CONTAINMENT CONTROL FOR MULTI-ROBOT SYSTEM BASED ON HAMILTON AND WAVELET NETWORK,10.2316/j.2020.201-0035,Mechatronic Systems and Control,2019,journal-article,Nuan Shao,crossref,,,,,,,
6ad2b645fd867e861c634ebad2be91bf901e810f,robot fault containment hierarchy,A Robot Fault-Tolerance Approach Based on Fault Type,10.1109/qsic.2009.46,2009 Ninth International Conference on Quality Software,2010,proceedings-article,Bingu Shim,crossref,,,,,,,
c11322888adf964e2417ec123d1ba54fbf5681be,robot fault containment hierarchy,Probabilistic seismic performance evaluation of nuclear containment structure subjected to far-fault ground motions,10.1016/j.istruc.2021.04.013,Structures,2021,journal-article,Song Jin,crossref,,,,,,,
77f92b2128300f5d21bd42d4989077a75f9008c6,robot fault containment hierarchy,Fault-Tolerant Containment Control for Multi-UAV Systems Based on ADP,10.1109/spac53836.2021.9539959,"2021 International Conference on Security, Pattern Analysis, and Cybernetics（SPAC)",2021,proceedings-article,Qi Liu,crossref,,,,,,,
d04e211e661d8cf9f6fb47daf82168e553a181e8,robot fault containment hierarchy,Technical note: Analytic hierarchy process for robot selection,10.1016/s0278-6125(97)81731-1,Journal of Manufacturing Systems,2008,journal-article,,crossref,,,,,,,
14d93cfbcaa8ddb605cb83b277a2ccacfe157575,robot fault containment hierarchy,Active fault-tolerant control for two-wheeled differential drive mobile robot based on fault compensation method,10.1109/cac.2013.6775759,2013 Chinese Automation Congress,2014,proceedings-article,Zhenyu Li,crossref,,,,,,,
eb60f57888808b36b1bcfa5a3598123c707bad51,robot fault containment hierarchy,Matrix-based multi-hierarchy fault tree generation and evaluation,10.1109/syscon.2016.7490535,2016 Annual IEEE Systems Conference (SysCon),2016,proceedings-article,Michael Roth,crossref,,,,,,,
c60f1abbe5a3e2b2a06e82df39bc2610060d1a74,robot fault containment hierarchy,Topseal Leakage in Mounded Cenozoic Northern North Sea Sediments: Implications for Containment of Injected CO2,10.3997/2214-4609.202532040,Seventh International Conference on Fault and Top Seals,2025,proceedings-article,C. Hermanrud,crossref,,,,,,,
4bb5bb195afcf39ab8b227e7bb26a4d7b0dc3a72,robot fault containment hierarchy,Insights from Fault Damage Zone Models for CO2 Storage Containment Integrity,10.3997/2214-4609.2025101615,86th EAGE Annual Conference &amp; Exhibition (Workshop Programme),2025,proceedings-article,K. Bisdom,crossref,,,,,,,
d1ca14c3907b440b1e335b3a4c06f24c14912060,robot fault containment hierarchy,Fault-containment in cache memories for TMR redundant processor systems,10.1109/12.762529,IEEE Transactions on Computers,2002,journal-article,Chung-Ho Chen,crossref,,,,,,,
ca6f71ee59a701f8788dce704b77796438de4357,robot fault containment hierarchy,Nested dynamic actions: how to solve the fault containment problem in a cooperative action model,10.1109/reldis.1994.336904,Proceedings of IEEE 13th Symposium on Reliable Distributed Systems,2002,proceedings-article,E. Nett,crossref,,,,,,,
c53a5a91552cc3a778f585e5f3342e5ffac1ad0f,robot fault containment hierarchy,Fault identification for robot manipulators,10.1109/tro.2005.851356,IEEE Transactions on Robotics,2005,journal-article,M.L. McIntyre,crossref,,,,,,,
cd1b40a4e63c9baca3b14b864760a54d8d1426b9,robot fault containment hierarchy,Fragility analysis of a containment structure under far-fault and near-fault seismic sequences considering post-mainshock damage states,10.1016/j.engstruct.2019.109511,Engineering Structures,2019,journal-article,Xu Bao,crossref,,,,,,,
5d134bdda6ac5526871037354b97ef27f52bc7f6,robot fault containment hierarchy,Gesture motion programming by applying robot motion hierarchy structure for the educational/entertainment robot Engkey,10.1109/arso.2012.6213395,2012 IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),2012,proceedings-article,Jaewoo Kim,crossref,,,,,,,
f452383fd09749d5c8f0050f5f58a2a7aab381d5,robot fault containment hierarchy,Evaluation of Autonomous Robot Alternatives for Warehouse Optimization Using the Analytic Hierarchy Process,10.52460/src.2025.006,Scientific Research Communications,2025,journal-article,Huriye Akpınar,crossref,,,,,,,
fab32aba71df7f385fb21c62efe0661719ed222c,robot fault containment hierarchy,A self-stabilizing clustering algorithm with fault-containment feature for wireless sensor networks,10.1109/istel.2014.7000799,7'th International Symposium on Telecommunications (IST'2014),2015,proceedings-article,Amirreza Ramtin,crossref,,,,,,,
7927379435d689a3d12f409560376e3c37f804fa,robot fault containment hierarchy,A CAN-Based Application Level Error Detection and Fault Containment Protocol,10.1016/s1474-6670(17)36106-2,IFAC Proceedings Volumes,2017,journal-article,Juan Pimentel,crossref,,,,,,,
ca3fdaad2d8e123341f7c8f75df727bac6f9da63,robot fault containment hierarchy,A reliability analysis method based on fault tree analysis and analytic hierarchy process,10.58396/smmce020105,Security and Management in Modern Civil Engineering,2023,journal-article,,crossref,,,,,,,
4e06df8145464db160d428e3ad07cb0002d88370,robot fault containment hierarchy,Fuzzy Analytic Hierarchy Process-Based Mobile Robot Path Planning,10.3390/electronics9020290,Electronics,2020,journal-article,Changwon Kim,crossref,,,,,,,
3cafb336b1b0097e62b58f7462a5d12fe3db08c7,robot fault containment hierarchy,A fault hiding approach for the sliding mode fault-tolerant control of a non-holonomic mobile robot,10.1109/systol.2016.7739721,2016 3rd Conference on Control and Fault-Tolerant Systems (SysTol),2016,proceedings-article,Alexandru Stancu,crossref,,,,,,,
1d61069000712a53f20ee369b1bb456882079c8a,robot fault containment hierarchy,Fault Diagnosis and Fault Tolerance for Mechatronic Systems: Recent Advances,10.1108/ir.2004.31.4.375.1,Industrial Robot: An International Journal,2014,journal-article,F. Caccauale,crossref,,,,,,,
6a8dbd1f4ce95cecea6a512c95c50b9a38595d2e,robot fault containment hierarchy,Optimal Fault-tolerant Multi-robot Team Design Using Robot Reliability,10.12720/joace.3.5.378-384,Journal of Automation and Control Engineering,2015,journal-article,Gyuho Eoh,crossref,,,,,,,
9af54e7a2c885e87659312094c3d20d85871da3b,robot fault containment hierarchy,Containment of stick‐slip failures on a simulated fault by pore fluid injection,10.1029/gl009i008p00801,Geophysical Research Letters,2008,journal-article,,crossref,,,,,,,
a453d1d4228393e6aa44fd27fcb8510338758587,robot fault containment hierarchy,Hierarchy based statistical fault simulation of mixed-signal ICs,10.1109/test.1996.557077,Proceedings International Test Conference 1996. Test and Design Validity,2002,proceedings-article,G. Devarayanadurg,crossref,,,,,,,
880b00343168d73e521e6f2ee947a2a32abfe524,robot fault containment hierarchy,Hierarchy fault diagnosis based on signed directed graphs model,10.1109/ccdc.2012.6244364,2012 24th Chinese Control and Decision Conference (CCDC),2012,proceedings-article,Xie Gang,crossref,,,,,,,
5972d83a5f39862ebeeaef3745b3e3d08906d6d4,robot fault containment hierarchy,Hydrocarbon Columns Trapped Against Active Faults: Analogues to Fault Integrity in CO2 Containment Studies,10.3997/2214-4609.202210836,83rd EAGE Annual Conference &amp; Exhibition,2022,proceedings-article,C. Wibberley,crossref,,,,,,,
d680cbb5c9037930cbba418d91efaa876a0dafd9,robot fault containment hierarchy,Hierarchy-based extended CBBA for multi-robot task assignment,10.1109/cac57257.2022.10054892,2022 China Automation Congress (CAC),2023,proceedings-article,Jiajun Liu,crossref,,,,,,,
df5c037ec932b9314b1178a0fd0f1d5415fe3c76,robot fault containment hierarchy,,10.1117/12.3090611.378f95c1-1c8e-f011-a9ab-00505691c5e1,,2026,component,,crossref,,,,,,,
e7c6dfe11659528d18638c715fcd1b1fad849670,robot fault containment hierarchy,Power efficiency estimation based health monitoring and fault detection of modular and reconfigurable robot,10.32920/ryerson.14651667.v1,,2021,posted-content,Jing Yaun,crossref,,,,,,,
233952809b1ade85f79c5ce5db370ab41d2391dc,robot fault containment hierarchy,"Hierarchy, Criticism, and Commendation",10.1515/9781438463018-006,The Commentarial Transformation of the <i>Spring and Autumn</i>,2024,book-chapter,,crossref,,,,,,,
a49e749d07d1066b20c8e790f10047da233a4eee,robot fault containment hierarchy,A Hierarchy Management Framework for Automated Network Fault Identification,10.1109/wicom.2008.1358,"2008 4th International Conference on Wireless Communications, Networking and Mobile Computing",2008,proceedings-article,Zhi-Gang Zhao,crossref,,,,,,,
7911fccc2324293dfbb28401e54c2f12b7446508,robot fault containment hierarchy,019 Sensor fault isolation in dynamic systems by a neural network hierarchy,10.1016/0967-0661(93)90275-v,Control Engineering Practice,2008,journal-article,,crossref,,,,,,,
d58aa5cef0b8ac48cb23db998d8db3a7ae16ab28,robot fault containment hierarchy,Power efficiency estimation based health monitoring and fault detection of modular and reconfigurable robot,10.32920/ryerson.14651667,,2021,posted-content,Jing Yaun,crossref,,,,,,,
8c07a2e491f418cbb8154d41ef56dbc3696fe56e,robot fault containment hierarchy,Preserving the Fault-Containment of Ring Protocols Executed on Trees,10.1093/comjnl/bxn061,The Computer Journal,2008,journal-article,Y. Yamauchi,crossref,,,,,,,
08a11a6eb1f95892f8a264addc7b34871a4fe762,robot fault containment hierarchy,Neural network-based distributed adaptive fault-tolerant containment control,10.1016/j.neucom.2025.130643,Neurocomputing,2025,journal-article,Ziying Fang,crossref,,,,,,,
4789f87d3385f4fff1d97b60cb89287501a6dc77,robot fault containment hierarchy,Distributed fault-tolerant containment control for multi-UAVs with actuator and sensor faults,10.1109/icuas.2017.7991334,2017 International Conference on Unmanned Aircraft Systems (ICUAS),2017,proceedings-article,Ziquan Yu,crossref,,,,,,,
9ea1dc2ee077361cbcf1344f90d875202a4a5eb0,robot fault containment hierarchy,Hierarchy-based domain adversarial neural network for bearing fault diagnosis under variable working conditions,10.21203/rs.3.rs-4942209/v1,,2024,posted-content,Yuanlin Zheng,crossref,,,,,,,
90e78f07e0ebc871cd07304ba90f109c9dfd4ff9,robot fault containment hierarchy,Fast adaptive fault estimation algorithm: Application to unicycle rOBOT,10.1109/systol.2013.6693928,2013 Conference on Control and Fault-Tolerant Systems (SysTol),2014,proceedings-article,O. Hrizi,crossref,,,,,,,
02f0ad3cb7232126fbfec0ef98490aa601335047,robot fault containment hierarchy,"Mobility Hierarchy and Simulation of a Modular, Reconfigurable, Tetrahedral Robot System",10.1007/978-3-030-97672-9_12,Lecture Notes in Networks and Systems,2022,book-chapter,Yin M. Chen,crossref,,,,,,,
2d34dd883c0c3c1946c4cd47ee241640ab20a4f5,robot fault containment hierarchy,Space-Efficient Fault-Containment in Dynamic Networks,10.1007/978-3-642-24550-3_24,Lecture Notes in Computer Science,2011,book-chapter,Sven Köhler,crossref,,,,,,,
1ecd7061d38146d94f39f5b9a577be9f96e96a3c,robot fault containment hierarchy,Fault-Tolerant Quantum Communication Systems Using Clifford Hierarchy-based CSS Codes,10.21203/rs.3.rs-8557720/v1,,2026,posted-content,Mahendra Kumar Das,crossref,,,,,,,
7a2cd9bf9d63beabce925d06e52aa873c7b220cd,robot fault containment hierarchy,A Review of Industrial Robot Fault Diagnosis and Fault-tolerant Technology,10.62051/ijmee.v6n1.03,International Journal of Mechanical and Electrical Engineering,2025,journal-article,Yanyan Gong,crossref,,,,,,,
45ecf277b55a0134f8f63cc0bd77295c392f9e86,robot fault containment hierarchy,Fault-tolerant multi-sensor fusion methods : collaborative localization and characterization of a multi-robot system,10.70675/2af81ac2za44dz445cz8991z7622197137d8,,2026,dissertation,,crossref,,,,,,,
23d29c4698bf81f518439d895072e498d4ae90d0,robot fault containment hierarchy,Analytic hierarchy process for robot selection,10.1016/s0278-6125(97)88467-1,Journal of Manufacturing Systems,2008,journal-article,Chon-Huat Goh,crossref,,,,,,,
a8ab0b4797ec99c919134390183b6e3ffd2455a5,robot fault containment hierarchy,Complex Fault Network Generation Using a Fused Hierarchy,10.3997/2214-4609.201402405,68th EAGE Conference and Exhibition incorporating SPE EUROPEC 2006,2014,proceedings-article,K. S. Hoffman,crossref,,,,,,,
